Treatment,Concentration ,Days post infection,Insect.Species,Mortality,Wastes,Replicates
Control,Control,9,FAW,0,15.1,5
M.pingshaense,C1,9,C.butyrospermi,1,8.3,1
M.pingshaense,C1,9,C.butyrospermi,1,20.9,2
M.pingshaense,C1,9,C.butyrospermi,2,15.4,3
M.pingshaense,C1,9,C.butyrospermi,1,25.2,4
M.pingshaense,C1,9,C.butyrospermi,2,24.2,5
M.pingshaense,C1,9,FAW,3,9.3,1
M.pingshaense,C1,9,FAW,1,12.9,2
M.pingshaense,C1,9,FAW,1,14.4,3
M.pingshaense,C1,9,FAW,0,11.7,4
M.pingshaense,C1,9,FAW,3,9.4,5
Metarhizium sp.FAW,C1,9,C.butyrospermi,1,0,1
Metarhizium sp.FAW,C1,9,C.butyrospermi,4,5.46,2
Metarhizium sp.FAW,C1,9,C.butyrospermi,3,0,3
Metarhizium sp.FAW,C1,9,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,9,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,9,FAW,0,0,1
Metarhizium sp.FAW,C1,9,FAW,0,0,2
Metarhizium sp.FAW,C1,9,FAW,0,0,3
Metarhizium sp.FAW,C1,9,FAW,0,0,4
Metarhizium sp.FAW,C1,9,FAW,0,0,5
Trichoderma sp.FAW,C1,9,C.butyrospermi,2,0,1
Trichoderma sp.FAW,C1,9,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,9,C.butyrospermi,1,0,3
Trichoderma sp.FAW,C1,9,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,9,C.butyrospermi,5,0,5
Trichoderma sp.FAW,C1,9,FAW,2,0,1
Trichoderma sp.FAW,C1,9,FAW,0,0,2
Trichoderma sp.FAW,C1,9,FAW,0,0,3
Trichoderma sp.FAW,C1,9,FAW,1,0,4
Trichoderma sp.FAW,C1,9,FAW,0,0,5
Control,Control,10,C.butyrospermi,0,20.9,1
Control,Control,10,C.butyrospermi,0,21.7,2
Control,Control,10,C.butyrospermi,0,18.7,3
Control,Control,10,C.butyrospermi,0,22.3,4
Control,Control,10,C.butyrospermi,0,25.5,5
Control,Control,10,FAW,0,17.1,1
Control,Control,10,FAW,0,17.5,2
Control,Control,10,FAW,0,13.5,3
Control,Control,10,FAW,0,12.9,4
Control,Control,10,FAW,0,14.8,5
M.pingshaense,C1,10,C.butyrospermi,2,8.2,1
M.pingshaense,C1,10,C.butyrospermi,0,20.2,2
M.pingshaense,C1,10,C.butyrospermi,0,15.4,3
M.pingshaense,C1,10,C.butyrospermi,1,23.6,4
M.pingshaense,C1,10,C.butyrospermi,1,23.35,5
M.pingshaense,C1,10,FAW,0,8.4,1
M.pingshaense,C1,10,FAW,0,13.1,2
M.pingshaense,C1,10,FAW,1,14.3,3
M.pingshaense,C1,10,FAW,1,11.3,4
M.pingshaense,C1,10,FAW,3,9.2,5
Metarhizium sp.FAW,C1,10,C.butyrospermi,1,0,1
Metarhizium sp.FAW,C1,10,C.butyrospermi,1,5.1,2
Metarhizium sp.FAW,C1,10,C.butyrospermi,1,0,3
Metarhizium sp.FAW,C1,10,C.butyrospermi,3,0,4
Metarhizium sp.FAW,C1,10,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,10,FAW,0,0,1
Metarhizium sp.FAW,C1,10,FAW,0,0,2
Metarhizium sp.FAW,C1,10,FAW,0,0,3
Metarhizium sp.FAW,C1,10,FAW,0,0,4
Metarhizium sp.FAW,C1,10,FAW,0,0,5
Trichoderma sp.FAW,C1,10,C.butyrospermi,0,0,1
Trichoderma sp.FAW,C1,10,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,10,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,10,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,10,C.butyrospermi,1,0,5
Trichoderma sp.FAW,C1,10,FAW,2,0,1
Trichoderma sp.FAW,C1,10,FAW,0,0,2
Trichoderma sp.FAW,C1,10,FAW,5,0,3
Trichoderma sp.FAW,C1,10,FAW,3,0,4
Trichoderma sp.FAW,C1,10,FAW,1,0,5
Control,Control,11,C.butyrospermi,1,19.4,1
Control,Control,11,C.butyrospermi,1,19.6,2
Control,Control,11,C.butyrospermi,1,18.6,3
Control,Control,11,C.butyrospermi,0,22.1,4
Control,Control,11,C.butyrospermi,0,25.6,5
Control,Control,11,FAW,0,16.9,1
Control,Control,11,FAW,0,17.1,2
Control,Control,11,FAW,0,13.6,3
Control,Control,11,FAW,2,12.8,4
Control,Control,11,FAW,0,14.9,5
M.pingshaense,C1,11,C.butyrospermi,0,8.6,1
M.pingshaense,C1,11,C.butyrospermi,0,20.15,2
M.pingshaense,C1,11,C.butyrospermi,1,15.1,3
M.pingshaense,C1,11,C.butyrospermi,1,23.8,4
M.pingshaense,C1,11,C.butyrospermi,1,21.9,5
M.pingshaense,C1,11,FAW,2,6.75,1
M.pingshaense,C1,11,FAW,1,12.97,2
M.pingshaense,C1,11,FAW,2,14.1,3
M.pingshaense,C1,11,FAW,0,11.2,4
M.pingshaense,C1,11,FAW,1,8.2,5
Metarhizium sp.FAW,C1,11,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,11,C.butyrospermi,0,4.24,2
Metarhizium sp.FAW,C1,11,C.butyrospermi,2,0,3
Metarhizium sp.FAW,C1,11,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,11,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,11,FAW,0,0,1
Metarhizium sp.FAW,C1,11,FAW,0,0,2
Metarhizium sp.FAW,C1,11,FAW,0,0,3
Metarhizium sp.FAW,C1,11,FAW,0,0,4
Metarhizium sp.FAW,C1,11,FAW,1,0,5
Trichoderma sp.FAW,C1,11,C.butyrospermi,1,0,1
Trichoderma sp.FAW,C1,11,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,11,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,11,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,11,C.butyrospermi,1,0,5
Trichoderma sp.FAW,C1,11,FAW,0,0,1
Trichoderma sp.FAW,C1,11,FAW,0,0,2
Trichoderma sp.FAW,C1,11,FAW,2,0,3
Trichoderma sp.FAW,C1,11,FAW,2,0,4
Trichoderma sp.FAW,C1,11,FAW,1,0,5
Control,Control,12,C.butyrospermi,0,19.7,1
Control,Control,12,C.butyrospermi,0,19.5,2
Control,Control,12,C.butyrospermi,0,18.8,3
Control,Control,12,C.butyrospermi,0,22.2,4
Control,Control,12,C.butyrospermi,0,25.6,5
Control,Control,12,FAW,0,16.9,1
Control,Control,12,FAW,1,16.4,2
Control,Control,12,FAW,0,11.8,3
Control,Control,12,FAW,0,12.9,4
Control,Control,12,FAW,1,13.7,5
M.pingshaense,C1,12,C.butyrospermi,1,8.7,1
M.pingshaense,C1,12,C.butyrospermi,1,19.18,2
M.pingshaense,C1,12,C.butyrospermi,1,14.8,3
M.pingshaense,C1,12,C.butyrospermi,0,22.4,4
